,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
232,6001,1,spatial,R,R,C,L,0,400.7
233,6001,1,spatial,L,R,I,L,1,442
234,6001,1,spatial,R,R,C,L,0,615.96
235,6001,1,spatial,L,R,I,L,1,751.03
236,6001,1,spatial,R,L,I,R,1,449.07
237,6001,1,spatial,R,R,C,R,1,459.05
238,6001,1,spatial,L,R,I,L,1,507.97
239,6001,1,spatial,R,R,C,R,1,1353.6
240,6001,1,spatial,L,R,I,L,1,640.1
241,6001,1,spatial,R,L,I,R,1,736.36
242,6001,1,spatial,R,R,C,R,1,340.56
243,6001,1,spatial,L,R,I,L,1,578.6
244,6001,1,spatial,R,R,C,R,1,760.77
245,6001,1,spatial,L,L,C,L,1,966.37
246,6001,1,spatial,R,L,I,L,0,570.97
247,6001,1,spatial,R,R,C,L,0,473.74
248,6001,1,spatial,L,R,I,L,1,733.96
249,6001,1,spatial,L,L,C,L,1,994.19
250,6001,1,spatial,R,L,I,R,1,481.45
251,6001,1,spatial,L,L,C,L,1,741.4
252,6001,1,spatial,R,L,I,R,1,611.15
253,6001,1,spatial,L,L,C,L,1,433.66
254,6001,1,spatial,L,R,I,L,1,912.14
255,6001,1,spatial,L,L,C,L,1,555.53
256,6001,1,spatial,R,R,C,R,1,464.06
257,6004,1,spatial,L,R,I,L,1,524.99
258,6004,1,spatial,L,L,C,L,1,340.13
259,6004,1,spatial,R,L,I,R,1,350.41
260,6004,1,spatial,L,L,C,L,1,289.83
261,6004,1,spatial,R,L,I,R,1,292.9
262,6004,1,spatial,R,R,C,R,1,482.26
263,6004,1,spatial,L,R,I,L,1,312.73
264,6004,1,spatial,R,L,I,R,1,268.03
265,6004,1,spatial,L,L,C,L,1,248.91
266,6004,1,spatial,R,L,I,R,1,352.46
267,6004,1,spatial,L,L,C,L,1,183.04
268,6004,1,spatial,R,L,I,R,1,218.38
269,6004,1,spatial,R,R,C,R,1,329.84
270,6004,1,spatial,L,R,I,L,1,209.05
271,6004,1,spatial,R,L,I,R,1,242.58
272,6004,1,spatial,R,R,C,L,0,143.2
273,6004,1,spatial,R,L,I,R,1,530.36
